Main_Title,Sub_Title,Venue,Fees,Date,Links
Advanced Health & Safety Management,Managing Risks to Protect People,Amsterdam,"$5,950",08 - 12 Dec 2025,https://glomacs.com/training-course/advanced-health-safety-management
Process Safety Management,Improving Safety Performance,Online,"$3,950",08 - 12 Dec 2025,https://glomacs.com/training-course/process-safety-management
IMO Model Training Course on OPRC: Level 2 - Supervisors and On-Scene Commanders,,Abu Dhabi,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/imo-model-training-course-on-oprc-level-2-supervisors-and-on-scene-commanders
Construction HSE Hazards,"Site Hazardous Work, Safeguards & Controls",Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/construction-hse-hazards
Behavioural Based Safety,Safe Person – Safe Workplace,Dammam,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/behavioural-based-safety
Environmental and Social Impact Assessment,Better Assessment for Successful Business,Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/environmental-social-impact-assessment
Sustainability and Carbon Accounting Masterclass,Enabling Inhouse Sustainability Report Generation,London,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/sustainability-and-carbon-accounting-masterclass
The Oxford Adaptive Leadership for Healthcare Management,"Improving Delegation, Managing Resources and Expectations, and Increasing Efficiency",Istanbul,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/the-oxford-adaptive-leadership-for-healthcare-management
Advanced Operation & Safety Practices in Terminals Handling Ships Carrying Liquefied Gases in Bulk,,Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/advanced-operation-safety-practices-in-terminals-handling-ships-carrying-liquefied-gases-in-bulk
Environmental and Social Impact Assessment,Better Assessment for Successful Business,Online,"$3,950",15 - 19 Dec 2025,https://glomacs.com/training-course/environmental-social-impact-assessment
IMO Model Training Course on OPRC: Level 3 - Senior Managers and Administrators,,Dubai,"$5,950",15 - 19 Dec 2025,https://glomacs.com/training-course/imo-model-training-course-on-oprc-level-3-senior-managers-and-administrators
IMO Model Training Course on ORPC,Level 0 - First Responders,Dubai,"$2,450",22 Dec 2025,https://glomacs.com/training-course/imo-model-training-course-on-orpc
ISO 39001: Road Traffic Safety Management System,On the Road to ISO 39001,Online,"$3,950",22 - 26 Dec 2025,https://glomacs.com/training-course/iso-39001-road-traffic-safety-management-system
Prevent Disastrous Decisions,Eliminating Wrong Choices,Dubai,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/prevent-disastrous-decisions
Fundamentals of Decarbonisation,"Energy Efficiency, Carbon Footprint Reduction, and Climate Change Response",Dubai,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/fundamentals-of-decarbonisation
Climate Change: Economics & Governance,How Achieving the Economic Growth while Solving the Climate Change issues through Correct Governance,Dubai,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/climate-change-economics-governance
Traffic Accident Investigation,How to Identify and Collect Evidences,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/traffic-accident-investigation
OSHA: Occupational Safety & Health Administration Standards,The Right Way for Safety,Dubai,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/osha-training-occupational-safety-health-administration-standards
Intelligent Felt Leadership,Leadership through Visibility — Driving Safety Culture and Team Engagement,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/intelligent-felt-leadership
LEED Green Associate Exam Preparation Training,Become a Leader in Green Building Design and Construction,Dubai,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/leed-green-associate-exam-preparation-training
OSHA: Occupational Safety & Health Administration Standards,The Right Way for Safety,Online,"$3,950",22 - 26 Dec 2025,https://glomacs.com/training-course/osha-training-occupational-safety-health-administration-standards
Advanced Safety Leadership,Reducing Errors & Influencing Safety Behaviour,London,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/advanced-safety-leadership
ISGOTT & SIGTTO Requirements related to Tanker and Oil & Gas Terminal Operations and Safety,,Doha,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/isgott-sigtto-requirements-related-to-tanker-and-oil-gas-terminal-operations-and-safety
Energy and Climate Change,Decarbonizing Energy Economies with Renewable Energy,Online,"$3,950",22 - 26 Dec 2025,https://glomacs.com/training-course/energy-climate-change
ISO 39001: Road Traffic Safety Management System,On the Road to ISO 39001,Dubai,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/iso-39001-road-traffic-safety-management-system
Safety Audit & Site Inspection,Improvement through Measurement,Pretoria,"$5,950",22 - 26 Dec 2025,https://glomacs.com/training-course/safety-audit-and-site-inspection
Mini MBA for HSE Professionals,Previously advertised as 'The 10-Day Advanced Health & Safety Leadership',London,"$11,900",22 Dec - 02 Jan 2026,https://glomacs.com/training-course/mini-mba-for-hse-professionals
The Art of Advanced Communication for Healthcare Professionals,"Communication, Persuasion, and Influence with a Focus on Emotional Intelligence",London,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/the-art-of-advanced-communication-for-healthcare-professionals
ICS 300 Incident Command System,Understanding the Dynamics that Gives the Crisis Leader the Ability to Manage Potential Risks during Emergency Situations,Dubai,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/ics-300-incident-command-system
Managing Project Risks in the Oil & Gas Industry,Minimising Uncertainties in Highly Complex Environments,Dubai,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/managing-project-risks-in-the-oil-and-gas-industry
Advanced Health & Safety Management,Managing Risks to Protect People,London,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/advanced-health-safety-management
IMO Model Training Course on OPRC: Level 2 - Supervisors and On-Scene Commanders,,London,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/imo-model-training-course-on-oprc-level-2-supervisors-and-on-scene-commanders
Contractor Safety Management,Control Your Contractors,Dubai,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/contractor-safety-management
Advanced Health and Safety for Healthcare Professionals,,London,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/advanced-health-and-safety-for-healthcare-professionals
Traffic Impact Analysis,Explore the Transportation and Land Use Interaction,Dubai,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/traffic-impact-analysis
Alarm Management,The High Performance of Human Machine Interface,Dubai,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/alarm-management
Safety in Process Equipment Design & Operation,Risk Minimization Approach,London,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/safety-in-process-equipment-design-operation
Traffic Impact Analysis,Explore the Transportation and Land Use Interaction,Online,"$3,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/traffic-impact-analysis
